4929,8317,3130,-7897,-3975,-494,512,-501,93,-46,-197,-8,328,75,331,98
4960,8293,3379,-7639,-3932,-515,492,-442,100,-39,-202,-26,332,67,294,114
4992,-5126,-2927,5645,3691,48,34,-367,90,-35,-182,-33,204,60,247,96
5006,-5168,-3212,5646,4011,71,52,-335,86,-32,-169,-32,174,54,237,92
5048,-5061,-4277,5451,5189,138,115,-222,72,-23,-139,-26,119,63,206,134
5103,-5035,-5544,5139,6378,220,203,-133,68,-21,-127,-23,108,105,173,159
5121,-4858,-5787,5021,6702,241,224,0,48,-24,-92,-4,114,118,177,263
5186,-4269,-6931,4128,7620,317,318,0,20,-30,-59,12,115,172,144,380
5203,-4167,-6890,3945,7463,317,318,0,13,-33,-50,17,98,174,133,406
5231,-3972,-7417,3584,7865,357,363,0,7,-42,-40,31,104,212,113,350
5262,-3878,-7946,3310,8257,400,405,0,-3,-49,-24,45,100,265,119,426
5280,-3803,-8198,3163,8465,422,425,0,-5,-55,-20,49,103,302,130,545
5307,-3535,-8655,-2973,8886,454,478,0,-10,-69,-9,70,109,320,124,571
5325,-3794,-8909,2901,9026,487,488,0,-14,-77,-1,80,121,382,128,781
5342,-3412,-9041,-3203,9223,497,520,0,-16,-86,4,94,131,491,141,755
5359,-3477,-9204,-3241,9306,522,537,0,-19,-94,5,105,127,557,129,1056
5387,-4036,-10099,-3154,9890,611,576,-133,-27,-105,7,128,152,533,152,1057
5404,-4064,-9987,-3167,9699,611,576,-133,-32,-120,10,140,158,677,163,1328
5425,-3754,-10031,-3232,9979,627,603,0,-36,-134,9,151,169,758,166,1300
5443,-3629,-10179,-3329,10159,647,626,0,-40,-143,8,158,177,814,151,1372
5460,-3560,-10242,-3378,10245,665,651,0,-46,-157,9,168,202,966,174,1370
5502,-3341,-10611,-3567,10666,721,722,0,-60,-190,9,205,232,1107,190,1481
5519,-3373,-10626,-3544,10662,742,743,0,-64,-209,6,224,242,1140,188,2021
5561,-3111,-10896,-3792,10908,789,824,0,-75,-249,0,274,269,1407,194,2958
